Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Class
25,5,31,2,11,12,11,25,1
7,0,4,9,8,9,19,9,1
10,9,38,23,17,13,17,17,1
34,14,48,16,5,17,18,64,1
10,27,54,37,3,16,34,14,1
41,51,59,42,8,17,50,73,1
1,11,23,1,3,0,3,18,1
38,8,11,24,29,7,5,43,1
24,13,6,7,13,34,1,19,1
21,2,1,17,1,22,33,53,1
52,16,11,5,10,6,19,51,1
14,2,12,21,13,15,17,6,1
68,12,7,21,5,94,4,14,1
53,16,9,8,9,38,15,40,1
27,4,5,3,8,14,17,26,1
24,13,11,2,1,38,5,12,1
31,13,5,3,4,21,2,4,1
4,4,4,11,13,34,11,30,1
15,2,4,0,2,12,4,5,1
21,12,35,15,8,45,30,9,1
7,37,87,60,7,8,7,44,1
19,12,36,1,11,19,4,16,1
38,9,22,33,17,22,32,32,1
15,5,2,1,2,10,12,20,1
9,2,22,13,8,81,10,1,1
23,10,11,5,3,2,3,48,1
49,6,0,9,10,26,10,13,1
24,1,5,12,1,9,20,20,1
19,1,1,4,3,26,7,25,1
43,4,9,12,5,26,16,24,1
33,3,7,11,6,20,18,45,1
62,11,10,4,5,14,2,0,1
13,17,8,10,3,33,11,6,1
36,14,0,5,0,46,22,22,1
9,14,3,6,6,26,9,25,1
61,13,2,15,10,11,3,49,1
7,4,2,30,8,44,18,63,1
34,1,25,11,4,64,16,27,1
77,4,36,3,13,115,7,17,1
45,6,17,15,15,28,3,27,1
7,1,9,9,10,3,1,30,1
12,5,1,7,15,16,16,7,1
60,8,7,3,3,32,14,12,1
26,17,12,6,5,54,25,21,1
18,4,9,46,25,26,11,13,1
17,19,3,13,10,14,6,31,1
23,12,25,4,7,25,15,25,1
11,0,21,11,33,74,16,4,1
12,5,49,6,19,40,11,8,1
25,8,44,6,1,26,15,36,1
62,2,18,3,3,18,2,22,1
6,0,3,5,13,19,11,18,1
50,25,94,56,4,19,58,85,1
87,43,62,56,9,57,75,75,1
23,5,13,25,2,62,12,35,1
8,1,2,36,0,22,10,14,1
7,15,4,45,27,44,8,26,1
